,Unnamed: 0,name,url,food_details,rating,review_number,longitude,latitude,price,food_category,weighted_rating,rating_group,price_category,rest_details
492,492,Beer house kepong ,https://foodpanda.my/restaurant/t5ft/beer-house-kepong-,['Asian'],4.5,73,101.6470384,3.2181231,3,International,4.47,4.30-4.49,Expensive,Asian
493,493,Walls ice cream syed ali enterprise,https://foodpanda.my/restaurant/s78a/walls-ice-cream-syed-ali-enterprise,['Asian'],4.7,23,101.6393431,3.2110679,3,Desserts,4.5,4.50-4.69,Expensive,Asian
494,494,Brewtiful 1,https://foodpanda.my/restaurant/xl7o/brewtiful-1,"['Noodles', 'Beverages', 'Chicken', 'Rice Dishes', 'Malaysian food', 'Sandwiches']",4.5,6,101.6355802,3.1859718,3,International,4.45,4.30-4.49,Expensive,"Noodles, Beverages, Chicken, Rice Dishes, Malaysian food, Sandwiches"
495,495,Port santap santai ketupat palas,https://foodpanda.my/restaurant/h6kx/port-santap-santai-ketupat-palas,"['Rice Dishes', 'Malaysian food']",4.2,60,101.6585047,3.1859045,2,Malay,4.36,4.30-4.49,Moderate,"Rice Dishes, Malaysian food"
496,496,Restoran chandran corner,https://foodpanda.my/restaurant/ldk6/restoran-chandran-corner,"['Noodles', 'Beverages', 'Chicken', 'Rice Dishes', 'Burgers', 'Asian']",4.5,86,101.6191688,3.210555,1,Mamak,4.47,4.30-4.49,Cheap,"Noodles, Beverages, Chicken, Rice Dishes, Burgers, Asian"
497,497,Mm seafood ji4n,https://foodpanda.my/restaurant/ji4n/mm-seafood-ji4n,"['Noodles', 'Thai', 'Chicken', 'Rice Dishes', 'Meat']",0.0,0,101.6672833,3.2040815,3,Malay,0.0,No rating,Expensive,"Noodles, Thai, Chicken, Rice Dishes, Meat"
498,498,My cravings,https://foodpanda.my/restaurant/o8an/my-cravings,"['Noodles', 'Rice Dishes', 'Western']",4.5,792,101.6510801,3.1865664,2,International,4.49,4.30-4.49,Moderate,"Noodles, Rice Dishes, Western"
499,499,Dineshaa banana leaf restaurant,https://foodpanda.my/restaurant/m8ox/dineshaa-banana-leaf-restaurant,['Indian'],4.2,2315,101.65022278,3.18591189,2,Indian,4.21,4.00-4.29,Moderate,Indian
500,500,Restoran makmur,https://foodpanda.my/restaurant/t4jm/restoran-makmur,['Malaysian food'],4.6,376,101.6511286,3.1864263,1,Mamak,4.57,4.50-4.69,Cheap,Malaysian food
501,501,Weng kee yong tau fu,https://foodpanda.my/restaurant/x5ep/weng-kee-yong-tau-fu,['Chinese'],4.4,144,101.6333095,3.21029708,1,Chinese,4.42,4.30-4.49,Cheap,Chinese
502,502,Starbucks aeon kepong ,https://foodpanda.my/restaurant/s8dl/starbucks-aeon-kepong-,"['Cakes', 'Halal', 'Beverages', 'Sandwiches', 'Western']",4.7,1222,101.6385214,3.2136325,3,Beverages,4.68,4.50-4.69,Expensive,"Cakes, Halal, Beverages, Sandwiches, Western"
503,503,Marrybrown brem mall,https://foodpanda.my/restaurant/p0fd/marrybrown-brem-mall,"['Halal', 'Fast Food']",4.5,1749,101.667134,3.204627,3,Fast Food,4.5,4.50-4.69,Expensive,"Halal, Fast Food"
